"compresion","imagen","peso","resolucion","tasa_compresion"
"Index","27",6973614,"1080p",2.87229050044627
"Run","69",7804021,"1080p",2.87507423448223
"Index","109",5150822,"1080p",2.8762622821928
"Run","77",8680962,"1080p",2.88478233273274
"Index","53",2940066,"720p",2.88677327850551
"Run","33",3188197,"720p",2.89576525042099
"Run","57",6993551,"1080p",2.89961921915049
"Run","117",3218617,"1080p",2.90108720341214
"Run","69",3925089,"720p",2.90295118049439
"Index","59",5986718,"1080p",2.90360705415262
"Run","88",4443591,"720p",2.90426038790216
"Run","3",9783482,"1080p",2.90560990002973
"Index","29",2362666,"720p",2.90730620858533
"Run","46",4126827,"720p",2.91067444853914
"Run","18",9772879,"1080p",2.91075028175625
"Index","13",2208270,"720p",2.91364628331218
"Index","79",5751186,"1080p",2.91445876485877
"Index","11",2860518,"720p",2.91590265502963
"Run","5",3542300,"720p",2.91715631817205
"Run","61",3475640,"720p",2.91937376474432
"Run","26",4290179,"720p",2.92903363673852
"Index","13",4091002,"1080p",2.93001346473386
"Index","27",3704726,"720p",2.93062488233126
"Run","101",7611772,"1080p",2.93181176526777
"Index","104",3454246,"720p",2.93836341241
"Run","104",3456029,"720p",2.93988012603269
"Run","79",5817003,"1080p",2.94781204756024
"Run","27",3728650,"720p",2.94954997144308
"Index","87",3037550,"720p",2.95654653795316
"Index","29",4333094,"1080p",2.95809468155262
"Index","40",5747342,"1080p",2.95847266033587
"Run","117",1749667,"720p",2.96092025993366
"Run","46",8230417,"1080p",2.96319736918849
"Run","89",5322090,"1080p",2.96619861490565
"Index","4",5469586,"1080p",2.96655833660565
"Run","101",3777278,"720p",2.96703666145359
"Index","32",3341938,"720p",2.96937629501683
"Run","22",5961679,"1080p",2.97656961089317
"Run","6",4170081,"1080p",2.98136362206481
"Index","6",4172606,"1080p",2.9831688491445
"Run","103",2719808,"1080p",2.98493925988035
"Run","17",5654452,"1080p",2.98615199534421
"Run","38",10076923,"1080p",2.99449178090862
"Index","89",5381670,"1080p",2.99940476389525
"Run","38",4482934,"720p",3.00377973923083
"Run","40",5844071,"1080p",3.00826439048898
"Index","14",2489438,"720p",3.03392424933031
"Run","32",6556342,"1080p",3.03514117577347
"Run","57",3538225,"720p",3.03654521830325
"Run","30",6815019,"1080p",3.0413913690775
"Run","22",3198295,"720p",3.04401517869805
"Run","2",4212371,"720p",3.04682599613466
"Index","14",4405210,"1080p",3.04685711440075
"Run","2",8862434,"1080p",3.04877771054267
"Run","102",5774320,"1080p",3.05205812225844
"Run","98",4640512,"1080p",3.05208893752984
"Index","40",3165738,"720p",3.05324132343793
"Run","26",9026449,"1080p",3.05368824632085
"Run","29",2484353,"720p",3.0570444155956
"Index","79",3148178,"720p",3.05851755779329
"Run","41",4413803,"720p",3.06332212471068
"Run","98",2523493,"720p",3.06359573778413
"Run","100",7130093,"1080p",3.06380494688471
"Run","25",5448510,"1080p",3.06605756423178
"Run","110",6172745,"1080p",3.06859764812325
"Run","73",3656959,"720p",3.07404091706133
"Run","85",3979783,"720p",3.07847126229619
"Run","76",6364991,"1080p",3.0857285941517
"Run","25",2898517,"720p",3.08574455060815
"Index","98",2546630,"720p",3.09168474559398
"Index","59",3331242,"720p",3.09504661279143
"Run","82",3951530,"720p",3.099907823256
"Run","110",3189839,"720p",3.10080858393797
"Run","30",3606410,"720p",3.10277660913503
"Run","92",7133056,"1080p",3.10435881980455
"Run","14",2547464,"720p",3.1046416114384
"Index","98",4722810,"1080p",3.10621676122275
"Run","85",7960240,"1080p",3.10987813630154
"Run","11",5731101,"1080p",3.11259566134296
"Run","79",3205847,"720p",3.1145441385776
"Run","84",4432350,"720p",3.11516703693838
"Run","82",8338869,"1080p",3.12467573345224
"Run","73",7434139,"1080p",3.12628193455789
"Run","103",1494351,"720p",3.12661707937106
"Run","59",6450452,"1080p",3.12852182609451
"Run","102",3354713,"720p",3.14167006926313
"Run","9",611103,"720p",3.14203081858987
"Run","84",9451004,"1080p",3.1421733949688
"Run","10",1749664,"720p",3.14824797843666
"Index","4",3181886,"720p",3.15001415676188
"Run","76",3318989,"720p",3.15156524777709
"Run","95",7027134,"1080p",3.16130158385972
"Run","40",3283727,"720p",3.16703750319479
"Run","100",3853126,"720p",3.18281287687799
"Run","92",3744527,"720p",3.19507069293583
"Run","17",3202267,"720p",3.19694727972654
"Run","13",4470407,"1080p",3.20174683435513
"Run","41",9552772,"1080p",3.2068302111899
"Run","95",3621849,"720p",3.21042927764102
"Run","65",6094595,"1080p",3.21149311419606
"Run","7",4215815,"1080p",3.21692208846619
"Index","6",2608598,"720p",3.22197505765
"Run","4",5980111,"1080p",3.2434535522208
"Run","24",6903781,"1080p",3.25020549821902
"Run","16",6510700,"1080p",3.2509676955464
"Run","65",3079132,"720p",3.25243129678669
"Run","53",6147526,"1080p",3.25259558410761
"Diff/Luma","63",1081248,"720p",3.26126022868828
"Run","11",3212996,"720p",3.27520524848982
"Run","32",3693806,"720p",3.28201779170976
"Run","13",2489618,"720p",3.28486382216264
"Run","7",2302952,"720p",3.28881323207252
"Run","89",3087415,"720p",3.30761624381579
"Index","89",3091306,"720p",3.31178475851326
"Run","59",3575267,"720p",3.32176948362653
"Run","87",6588551,"1080p",3.33346201269018
"Run","24",3776336,"720p",3.35545461653836
"Index","117",1985358,"720p",3.35977458877682
"Run","16",3471014,"720p",3.37319472613676
"Run","112",4043999,"720p",3.37688237858168
"Run","72",4195258,"720p",3.43798083699646
"Diff/Luma","63",2413403,"1080p",3.45081937912782
"Run","87",3550605,"720p",3.45591971173781
"Run","4",3494192,"720p",3.4591918963923
"Run","112",8536140,"1080p",3.48160217963647
"Run","53",3569358,"720p",3.5046584994418
"Index","117",3897670,"1080p",3.51314883383869
"Run","6",2849827,"720p",3.51992584239409
"Run","72",8589852,"1080p",3.52805550683917
"Index","10",1969782,"720p",3.54431605123093
"Run","58",4140323,"720p",3.68683821296686
"Index","103",1769886,"720p",3.70311646737595
"Index","103",3428038,"1080p",3.76220865978838
"Index","10",3581786,"1080p",3.80441665843496
"Run","58",8875018,"1080p",3.81989993819307
"Index","63",1493042,"720p",4.50331329571127
"Index","63",3204146,"1080p",4.58146820500135
"Diff/Luma","9",951119,"720p",4.89024797807633
"Diff/Luma","31",985072,"720p",5.92528075356844
"Index","9",1193626,"720p",6.13711547459292
"Diff/Luma","31",2205544,"1080p",6.59556576295313
"Diff/Luma","9",2132250,"1080p",6.62477474678432
"Index","31",1187534,"720p",7.14310462017817
"Index","9",2444122,"1080p",7.59374262101535
"Index","31",2555622,"1080p",7.64245599555021
