"compresion","imagen","peso","resolucion","tasa_compresion"
"Diff/Luma","27",1383807,"720p",1.09466104282589
"Diff/Luma","48",3767588,"1080p",1.09503043633945
"Diff/Luma","107",3396206,"1080p",1.0968134270757
"Diff/Luma","74",4093037,"1080p",1.09732336484077
"Diff/Luma","24",1236779,"720p",1.09893711925732
"Diff/Luma","49",1817554,"720p",1.09917034003419
"Diff/Luma","26",3256857,"1080p",1.10180935391623
"Diff/Luma","70",3626571,"1080p",1.10192441794219
"Diff/Luma","41",1588018,"720p",1.1021358845963
"Diff/Luma","72",1345425,"720p",1.10256517420763
"Diff/Luma","32",1243997,"720p",1.10531529994633
"Diff/Luma","92",1300117,"720p",1.10934324257447
"Diff/Luma","87",1140048,"720p",1.10964592105494
"Diff/Luma","101",1415048,"720p",1.11151450693239
"Diff/Luma","59",1196940,"720p",1.11207324256676
"Diff/Luma","118",3346666,"1080p",1.11224270381381
"Diff/Luma","96",1513411,"720p",1.11432703132743
"Diff/Luma","84",3354101,"1080p",1.11513728342917
"Diff/Luma","77",3355876,"1080p",1.11519573471717
"Diff/Luma","99",3278692,"1080p",1.11554361235998
"Diff/Luma","111",3797156,"1080p",1.11636272977547
"Diff/Luma","116",2991634,"1080p",1.11651547824581
"Diff/Luma","5",1355986,"720p",1.11668213512487
"Diff/Luma","20",1489310,"720p",1.11952269699949
"Diff/Luma","4",1131511,"720p",1.12017704862204
"Diff/Luma","34",1763722,"720p",1.12093161302952
"Diff/Luma","30",1305298,"720p",1.12301377335099
"Diff/Luma","46",3123622,"1080p",1.1245977564368
"Diff/Luma","52",1834276,"720p",1.12496174540316
"Diff/Luma","80",3276507,"1080p",1.12557107194055
"Diff/Luma","90",3394139,"1080p",1.12613376023358
"Diff/Luma","2",3281924,"1080p",1.12901904137115
"Diff/Luma","64",4325097,"1080p",1.12909892877673
"Diff/Luma","91",3557652,"1080p",1.12917065126003
"Diff/Luma","49",4034685,"1080p",1.13024586377555
"Diff/Luma","95",1275095,"720p",1.13025206732078
"Diff/Luma","23",3198334,"1080p",1.13473681148129
"Diff/Luma","53",1156212,"720p",1.1352540745301
"Diff/Luma","104",1335850,"720p",1.13634430334953
"Diff/Luma","82",3049064,"1080p",1.14252140074905
"Diff/Luma","85",2928864,"1080p",1.14423812822235
"Diff/Luma","35",1404437,"720p",1.14444720598122
"Diff/Luma","69",3115766,"1080p",1.14787729905849
"Diff/Luma","18",3854489,"1080p",1.14801942628947
"Diff/Luma","16",1186425,"720p",1.15298945868752
"Diff/Luma","61",1373361,"720p",1.15355850229685
"Diff/Luma","41",3448359,"1080p",1.15760135594449
"Diff/Luma","57",1360281,"720p",1.16740873350303
"Diff/Luma","33",1289307,"720p",1.17104758825271
"Diff/Luma","40",1214536,"720p",1.17137662813632
"Diff/Luma","73",1394055,"720p",1.17184308345648
